mode,metric,fun,threshold,stat,var1,var2,pearson,spearman
walk,bfca,gaussian,15,ac_mean,abs,rel,0.2342684423202373,0.34135338345864663
walk,bfca,gaussian,15,ac_mean,abs,population,0.565796015286623,0.4255639097744361
walk,bfca,gaussian,15,ac_mean,abs,jobs,0.6439481997093665,0.6526315789473683
walk,bfca,gaussian,15,ac_mean,abs,ratio,0.7757160548187247,0.8330827067669173
walk,bfca,gaussian,15,ac_mean,rel,population,-0.4972042672402005,-0.5909774436090226
walk,bfca,gaussian,15,ac_mean,rel,jobs,-0.43103985390289296,-0.3774436090225564
walk,bfca,gaussian,15,ac_mean,rel,ratio,0.15512098499186058,0.22406015037593985
walk,bfca,gaussian,15,wt_mean,abs,rel,0.4659282894089978,0.3879699248120301
walk,bfca,gaussian,15,wt_mean,abs,population,0.2579936960455837,0.18345864661654138
walk,bfca,gaussian,15,wt_mean,abs,jobs,0.35424700681968085,0.4345864661654136
walk,bfca,gaussian,15,wt_mean,abs,ratio,0.7656507625831473,0.7984962406015037
walk,bfca,gaussian,15,wt_mean,rel,population,-0.4939944224406599,-0.712781954887218
walk,bfca,gaussian,15,wt_mean,rel,jobs,-0.42695839521202633,-0.5593984962406015
walk,bfca,gaussian,15,wt_mean,rel,ratio,0.07371036414668393,0.09323308270676692
walk,bfca,gaussian,15,ac_median,abs,rel,0.45471587991993107,0.4150375939849624
walk,bfca,gaussian,15,ac_median,abs,population,0.22673548559395215,0.18195488721804512
walk,bfca,gaussian,15,ac_median,abs,jobs,0.30347454874616164,0.4180451127819549
walk,bfca,gaussian,15,ac_median,abs,ratio,0.6622007731868956,0.6721804511278195
walk,bfca,gaussian,15,ac_median,rel,population,-0.49478406288664567,-0.706766917293233
walk,bfca,gaussian,15,ac_median,rel,jobs,-0.43974335127943287,-0.5518796992481203
walk,bfca,gaussian,15,ac_median,rel,ratio,-0.03301377927400884,-0.022556390977443608
walk,bfca,gaussian,15,wt_median,abs,rel,0.37699707358892026,0.28872180451127816
walk,bfca,gaussian,15,wt_median,abs,population,0.1223281340362336,0.17142857142857143
walk,bfca,gaussian,15,wt_median,abs,jobs,0.20911999979427828,0.3969924812030075
walk,bfca,gaussian,15,wt_median,abs,ratio,0.7077034689875408,0.7203007518796992
walk,bfca,gaussian,15,wt_median,rel,population,-0.5688865194804441,-0.7398496240601504
walk,bfca,gaussian,15,wt_median,rel,jobs,-0.5193105474597162,-0.6676691729323309
walk,bfca,gaussian,15,wt_median,rel,ratio,-0.18164020460605693,-0.1293233082706767
walk,2sfca,gaussian,15,ac_mean,abs,rel,-0.020412530692011214,-0.2721804511278196
walk,2sfca,gaussian,15,ac_mean,abs,population,0.5001694684617929,0.5263157894736843
walk,2sfca,gaussian,15,ac_mean,abs,jobs,0.5624621448037879,0.6857142857142857
walk,2sfca,gaussian,15,ac_mean,abs,ratio,0.7215827598805111,0.7308270676691729
walk,2sfca,gaussian,15,ac_mean,rel,population,-0.6322785828796404,-0.8706766917293233
walk,2sfca,gaussian,15,ac_mean,rel,jobs,-0.6005251821550239,-0.8556390977443609
walk,2sfca,gaussian,15,ac_mean,rel,ratio,-0.2866221405611619,-0.42406015037593986
walk,bfca,gaussian,30,ac_mean,abs,rel,0.18410329634386663,0.31879699248120297
walk,bfca,gaussian,30,ac_mean,abs,population,0.5957551196291627,0.47518796992481205
walk,bfca,gaussian,30,ac_mean,abs,jobs,0.6741005766616992,0.6962406015037594
walk,bfca,gaussian,30,ac_mean,abs,ratio,0.7936227466844414,0.8360902255639098
walk,bfca,gaussian,30,ac_mean,rel,population,-0.5140049268687322,-0.5714285714285714
walk,bfca,gaussian,30,ac_mean,rel,jobs,-0.4425098426291351,-0.36541353383458647
walk,bfca,gaussian,30,ac_mean,rel,ratio,0.19110454676719146,0.23308270676691728
walk,bfca,gaussian,45,ac_mean,abs,rel,0.18139978371581078,0.32781954887218046
walk,bfca,gaussian,45,ac_mean,abs,population,0.6004206199702222,0.487218045112782
walk,bfca,gaussian,45,ac_mean,abs,jobs,0.677878378425071,0.706766917293233
walk,bfca,gaussian,45,ac_mean,abs,ratio,0.7973596112519371,0.8451127819548871
walk,bfca,gaussian,45,ac_mean,rel,population,-0.5148970118941145,-0.5639097744360902
walk,bfca,gaussian,45,ac_mean,rel,jobs,-0.44256233471342155,-0.3398496240601504
walk,bfca,gaussian,45,ac_mean,rel,ratio,0.20343517968031097,0.2646616541353384
walk,bfca,gaussian,60,ac_mean,abs,rel,0.18161017250946923,0.32781954887218046
walk,bfca,gaussian,60,ac_mean,abs,population,0.6017696540858755,0.487218045112782
walk,bfca,gaussian,60,ac_mean,abs,jobs,0.6788178967905524,0.706766917293233
walk,bfca,gaussian,60,ac_mean,abs,ratio,0.7986475944184468,0.8451127819548871
walk,bfca,gaussian,60,ac_mean,rel,population,-0.5146870376914291,-0.5639097744360902
walk,bfca,gaussian,60,ac_mean,rel,jobs,-0.44210196496904414,-0.3398496240601504
walk,bfca,gaussian,60,ac_mean,rel,ratio,0.20842376156589745,0.2646616541353384
walk,cumulative,binary,60,wt_mean,abs,rel,-0.34126638145515026,-0.29774436090225564
walk,cumulative,binary,60,wt_mean,abs,population,0.7062833605531482,0.6015037593984963
walk,cumulative,binary,60,wt_mean,abs,jobs,0.7386766541041332,0.7022556390977444
walk,cumulative,binary,60,wt_mean,abs,ratio,0.6214052984982013,0.6225563909774436
walk,cumulative,binary,60,wt_mean,rel,population,-0.63385571887048,-0.7789473684210526
walk,cumulative,binary,60,wt_mean,rel,jobs,-0.6297340167716056,-0.8225563909774436
walk,cumulative,binary,60,wt_mean,rel,ratio,-0.5488456502727513,-0.48120300751879697
walk,bfca,binary,60,ac_mean,abs,rel,0.1865119143286846,0.3443609022556391
walk,bfca,binary,60,ac_mean,abs,population,0.6022677177267087,0.4917293233082706
walk,bfca,binary,60,ac_mean,abs,jobs,0.6787532191690104,0.7172932330827068
walk,bfca,binary,60,ac_mean,abs,ratio,0.8026147799785094,0.8556390977443609
walk,bfca,binary,60,ac_mean,rel,population,-0.5130628696910867,-0.5398496240601504
walk,bfca,binary,60,ac_mean,rel,jobs,-0.4395971455557291,-0.3142857142857143
walk,bfca,binary,60,ac_mean,rel,ratio,0.2246069438760698,0.26766917293233083
walk,cumulative,binary,60,ac_mean,abs,rel,-0.21258876819205,-0.01654135338345865
walk,cumulative,binary,60,ac_mean,abs,population,0.7363362074920153,0.5684210526315789
walk,cumulative,binary,60,ac_mean,abs,jobs,0.7721636064158109,0.6616541353383459
walk,cumulative,binary,60,ac_mean,abs,ratio,0.5866660853282168,0.5578947368421053
walk,cumulative,binary,60,ac_mean,rel,population,-0.6092500512988154,-0.675187969924812
walk,cumulative,binary,60,ac_mean,rel,jobs,-0.5927261627724283,-0.6812030075187969
walk,cumulative,binary,60,ac_mean,rel,ratio,-0.3964092981425732,-0.4180451127819549
walk,gravity,gaussian,60,wt_mean,abs,rel,-0.34417704091411166,-0.29774436090225564
walk,gravity,gaussian,60,wt_mean,abs,population,0.7063990788169096,0.6015037593984963
walk,gravity,gaussian,60,wt_mean,abs,jobs,0.7388287221616127,0.7022556390977444
walk,gravity,gaussian,60,wt_mean,abs,ratio,0.6215827417216326,0.6225563909774436
walk,gravity,gaussian,60,wt_mean,rel,population,-0.6335077006315271,-0.7789473684210526
walk,gravity,gaussian,60,wt_mean,rel,jobs,-0.629437654437111,-0.8225563909774436
walk,gravity,gaussian,60,wt_mean,rel,ratio,-0.5521316955196099,-0.48120300751879697
walk,gravity,gaussian,60,ac_mean,abs,rel,-0.21386569985850856,-0.03759398496240602
walk,gravity,gaussian,60,ac_mean,abs,population,0.7365725568482485,0.5684210526315789
walk,gravity,gaussian,60,ac_mean,abs,jobs,0.7720030472197982,0.6616541353383459
walk,gravity,gaussian,60,ac_mean,abs,ratio,0.5852522821084549,0.5578947368421053
walk,gravity,gaussian,60,ac_mean,rel,population,-0.6082587736469259,-0.6887218045112782
walk,gravity,gaussian,60,ac_mean,rel,jobs,-0.5921965500376459,-0.6992481203007519
walk,gravity,gaussian,60,ac_mean,rel,ratio,-0.400617851615156,-0.43157894736842106
walk,gravity,gaussian,45,wt_mean,abs,rel,-0.3453567611971042,-0.2992481203007519
walk,gravity,gaussian,45,wt_mean,abs,population,0.7055993933122546,0.5909774436090226
walk,gravity,gaussian,45,wt_mean,abs,jobs,0.7381083183948228,0.6992481203007519
walk,gravity,gaussian,45,wt_mean,abs,ratio,0.6225470956509193,0.6345864661654135
walk,gravity,gaussian,45,wt_mean,rel,population,-0.633198164344127,-0.7819548872180451
walk,gravity,gaussian,45,wt_mean,rel,jobs,-0.6289724151251191,-0.82556390977443606
walk,gravity,gaussian,45,wt_mean,rel,ratio,-0.552999023937228,-0.4781954887218045
walk,gravity,gaussian,45,ac_mean,abs,rel,-0.2103946695749882,-0.04360902255639098
walk,gravity,gaussian,45,ac_mean,abs,population,0.7349835963971993,0.5654135338345865
walk,gravity,gaussian,45,ac_mean,abs,jobs,0.7700627286214967,0.6631578947368421
walk,gravity,gaussian,45,ac_mean,abs,ratio,0.5841751413051399,0.5593984962406015
walk,gravity,gaussian,45,ac_mean,rel,population,-0.606550940604763,-0.6887218045112782
walk,gravity,gaussian,45,ac_mean,rel,jobs,-0.5907542147159167,-0.6992481203007519
walk,gravity,gaussian,45,ac_mean,rel,ratio,-0.4013064516354774,-0.43157894736842106
walk,cumulative,binary,45,wt_mean,abs,rel,-0.3461050865872143,-0.3082706766917293
walk,cumulative,binary,45,wt_mean,abs,population,0.702451556492612,0.6
walk,cumulative,binary,45,wt_mean,abs,jobs,0.7348253062090239,0.7052631578947369
walk,cumulative,binary,45,wt_mean,abs,ratio,0.6208204240155508,0.6285714285714286
walk,cumulative,binary,45,wt_mean,rel,population,-0.6282132701376882,-0.7759398496240602
walk,cumulative,binary,45,wt_mean,rel,jobs,-0.6242406829364121,-0.8345864661654135
walk,cumulative,binary,45,wt_mean,rel,ratio,-0.5627419708450598,-0.49774436090225566
walk,2sfca,gaussian,15,wt_mean,abs,rel,0.11076738174925801,0.10075187969924812
walk,2sfca,gaussian,15,wt_mean,abs,population,0.27948621770750137,0.15639097744360902
walk,2sfca,gaussian,15,wt_mean,abs,jobs,0.3790815208592608,0.4330827067669173
walk,2sfca,gaussian,15,wt_mean,abs,ratio,0.817017489951852,0.806015037593985
walk,2sfca,gaussian,15,wt_mean,rel,population,-0.6273216603164814,-0.8781954887218045
walk,2sfca,gaussian,15,wt_mean,rel,jobs,-0.5783082563619267,-0.768421052631579
walk,2sfca,gaussian,15,wt_mean,rel,ratio,-0.2443966886087533,-0.18045112781954886
walk,cumulative,binary,60,wt_median,abs,rel,-0.13456766882542714,-0.13834586466165413
walk,cumulative,binary,60,wt_median,abs,population,0.5664441911444582,0.6857142857142857
walk,cumulative,binary,60,wt_median,abs,jobs,0.5686361246577976,0.6736842105263158
walk,cumulative,binary,60,wt_median,abs,ratio,0.43609302483103274,0.4345864661654136
walk,cumulative,binary,60,wt_median,rel,population,-0.5346466392497846,-0.5984962406015037
walk,cumulative,binary,60,wt_median,rel,jobs,-0.5514105259636449,-0.7624060150375941
walk,cumulative,binary,60,wt_median,rel,ratio,-0.6598357083031146,-0.6135338345864662
walk,2sfca,gaussian,15,ac_median,abs,rel,0.20968160105894854,0.13082706766917293
walk,2sfca,gaussian,15,ac_median,abs,population,0.09494078993795635,0.05714285714285714
walk,2sfca,gaussian,15,ac_median,abs,jobs,0.1840198240741535,0.33834586466165417
walk,2sfca,gaussian,15,ac_median,abs,ratio,0.7257356167124822,0.7443609022556391
walk,2sfca,gaussian,15,ac_median,rel,population,-0.6234748802751391,-0.9037593984962407
walk,2sfca,gaussian,15,ac_median,rel,jobs,-0.5813152819088622,-0.837593984962406
walk,2sfca,gaussian,15,ac_median,rel,ratio,-0.2936133888926814,-0.32481203007518794
walk,cumulative,binary,45,ac_mean,abs,rel,-0.20428754353242684,-0.03759398496240602
walk,cumulative,binary,45,ac_mean,abs,population,0.726364205362158,0.5669172932330827
walk,cumulative,binary,45,ac_mean,abs,jobs,0.7603431686321627,0.6556390977443609
walk,cumulative,binary,45,ac_mean,abs,ratio,0.5784285935715451,0.5323308270676692
walk,cumulative,binary,45,ac_mean,rel,population,-0.6040287667006615,-0.6887218045112782
walk,cumulative,binary,45,ac_mean,rel,jobs,-0.5900179564620268,-0.706766917293233
walk,cumulative,binary,45,ac_mean,rel,ratio,-0.41687068381737635,-0.45413533834586467
walk,cumulative,binary,60,ac_median,abs,rel,0.06531102613475599,0.15939849624060148
walk,cumulative,binary,60,ac_median,abs,population,0.6504179044206997,0.49774436090225566
walk,cumulative,binary,60,ac_median,abs,jobs,0.6717376125730594,0.556390977443609
walk,cumulative,binary,60,ac_median,abs,ratio,0.4486725193775553,0.40150375939849625
walk,cumulative,binary,60,ac_median,rel,population,-0.49931242532316916,-0.5774436090225563
walk,cumulative,binary,60,ac_median,rel,jobs,-0.4966619728557251,-0.6541353383458647
walk,cumulative,binary,60,ac_median,rel,ratio,-0.43363783374187587,-0.5323308270676692
walk,gravity,gaussian,30,wt_mean,abs,rel,-0.34734058088697767,-0.2902255639097744
walk,gravity,gaussian,30,wt_mean,abs,population,0.7031271004313007,0.6
walk,gravity,gaussian,30,wt_mean,abs,jobs,0.7359048640462353,0.7052631578947369
walk,gravity,gaussian,30,wt_mean,abs,ratio,0.6255495009404749,0.6285714285714286
walk,gravity,gaussian,30,wt_mean,rel,population,-0.6322045812449071,-0.7744360902255639
walk,gravity,gaussian,30,wt_mean,rel,jobs,-0.6274612260153849,-0.8225563909774436
walk,gravity,gaussian,30,wt_mean,rel,ratio,-0.5541029105093247,-0.48120300751879697
walk,gravity,gaussian,60,wt_median,abs,rel,-0.1386206811766185,-0.15037593984962408
walk,gravity,gaussian,60,wt_median,abs,population,0.5707649402325009,0.7007518796992481
walk,gravity,gaussian,60,wt_median,abs,jobs,0.5719534973680327,0.675187969924812
walk,gravity,gaussian,60,wt_median,abs,ratio,0.42956072088563274,0.4030075187969925
walk,gravity,gaussian,60,wt_median,rel,population,-0.5387500604538606,-0.6060150375939849
walk,gravity,gaussian,60,wt_median,rel,jobs,-0.5556301979656179,-0.7744360902255639
walk,gravity,gaussian,60,wt_median,rel,ratio,-0.6646229440839375,-0.6390977443609023
walk,gravity,gaussian,30,ac_mean,abs,rel,-0.20080334035538436,-0.042105263157894736
walk,gravity,gaussian,30,ac_mean,abs,population,0.7306710982740412,0.5744360902255639
walk,gravity,gaussian,30,ac_mean,abs,jobs,0.7647378273646128,0.6676691729323309
walk,gravity,gaussian,30,ac_mean,abs,ratio,0.5809743730820558,0.5488721804511277
walk,gravity,gaussian,30,ac_mean,rel,population,-0.6019062240891739,-0.6781954887218045
walk,gravity,gaussian,30,ac_mean,rel,jobs,-0.5868279696064966,-0.693233082706767
walk,gravity,gaussian,30,ac_mean,rel,ratio,-0.4032019851331198,-0.43909774436090226
walk,gravity,gaussian,45,wt_median,abs,rel,-0.14968441620364234,-0.14887218045112782
walk,gravity,gaussian,45,wt_median,abs,population,0.5717113997610829,0.7007518796992481
walk,gravity,gaussian,45,wt_median,abs,jobs,0.5729880247114841,0.675187969924812
walk,gravity,gaussian,45,wt_median,abs,ratio,0.4299967437729436,0.4030075187969925
walk,gravity,gaussian,45,wt_median,rel,population,-0.5463330140466145,-0.6
walk,gravity,gaussian,45,wt_median,rel,jobs,-0.5628215242398145,-0.7699248120300751
walk,gravity,gaussian,45,wt_median,rel,ratio,-0.6680873392073414,-0.631578947368421
walk,gravity,gaussian,60,ac_median,abs,rel,0.05050598696187233,0.11729323308270678
walk,gravity,gaussian,60,ac_median,abs,population,0.6576209208443529,0.5112781954887218
walk,gravity,gaussian,60,ac_median,abs,jobs,0.6787390595670266,0.5639097744360902
walk,gravity,gaussian,60,ac_median,abs,ratio,0.449613862192975,0.3894736842105263
walk,gravity,gaussian,60,ac_median,rel,population,-0.5044587202177891,-0.6015037593984963
walk,gravity,gaussian,60,ac_median,rel,jobs,-0.5014533054960169,-0.687218045112782
walk,gravity,gaussian,60,ac_median,rel,ratio,-0.43307093688711723,-0.5654135338345865
walk,bfca,gaussian,30,wt_mean,abs,rel,0.4618886236000713,0.38345864661654133
walk,bfca,gaussian,30,wt_mean,abs,population,0.26048258747197267,0.16090225563909774
walk,bfca,gaussian,30,wt_mean,abs,jobs,0.3577679073075451,0.4330827067669173
walk,bfca,gaussian,30,wt_mean,abs,ratio,0.7773379251666959,0.8150375939849624
walk,bfca,gaussian,30,wt_mean,rel,population,-0.49874144986989805,-0.724812030075188
walk,bfca,gaussian,30,wt_mean,rel,jobs,-0.4298319163207373,-0.5593984962406015
walk,bfca,gaussian,30,wt_mean,rel,ratio,0.08611312027101081,0.10827067669172932
walk,gravity,gaussian,45,ac_median,abs,rel,0.03943364741540635,0.11729323308270678
walk,gravity,gaussian,45,ac_median,abs,population,0.6625863198104155,0.5112781954887218
walk,gravity,gaussian,45,ac_median,abs,jobs,0.6825843616305733,0.5639097744360902
walk,gravity,gaussian,45,ac_median,abs,ratio,0.4458355674378537,0.3894736842105263
walk,gravity,gaussian,45,ac_median,rel,population,-0.5084924271222293,-0.6015037593984963
walk,gravity,gaussian,45,ac_median,rel,jobs,-0.5064433344274865,-0.687218045112782
walk,gravity,gaussian,45,ac_median,rel,ratio,-0.44290225858563903,-0.5654135338345865
walk,cumulative,binary,45,wt_median,abs,rel,-0.18384869631473935,-0.15037593984962408
walk,cumulative,binary,45,wt_median,abs,population,0.5954100452907377,0.6571428571428571
walk,cumulative,binary,45,wt_median,abs,jobs,0.5957896981052128,0.6330827067669174
walk,cumulative,binary,45,wt_median,abs,ratio,0.4294805028592749,0.36541353383458647
walk,cumulative,binary,45,wt_median,rel,population,-0.5723316576193741,-0.6721804511278195
walk,cumulative,binary,45,wt_median,rel,jobs,-0.5871970130038521,-0.8165413533834586
walk,cumulative,binary,45,wt_median,rel,ratio,-0.666926170807341,-0.6330827067669174
walk,bfca,binary,45,ac_mean,abs,rel,0.24463143121491218,0.22857142857142856
walk,bfca,binary,45,ac_mean,abs,population,0.5671435120880203,0.5684210526315789
walk,bfca,binary,45,ac_mean,abs,jobs,0.6387935664012426,0.7699248120300751
walk,bfca,binary,45,ac_mean,abs,ratio,0.8195397455441991,0.8390977443609022
walk,bfca,binary,45,ac_mean,rel,population,-0.5055517821317612,-0.5443609022556392
walk,bfca,binary,45,ac_mean,rel,jobs,-0.4343704809146703,-0.32781954887218046
walk,bfca,binary,45,ac_mean,rel,ratio,0.23988025788268474,0.23308270676691728
walk,bfca,gaussian,45,wt_mean,abs,rel,0.45897023393431424,0.38345864661654133
walk,bfca,gaussian,45,wt_mean,abs,population,0.26015093760686175,0.16090225563909774
walk,bfca,gaussian,45,wt_mean,abs,jobs,0.3576080392734956,0.4330827067669173
walk,bfca,gaussian,45,wt_mean,abs,ratio,0.7793888727115795,0.8150375939849624
walk,bfca,gaussian,45,wt_mean,rel,population,-0.5009752982921496,-0.724812030075188
walk,bfca,gaussian,45,wt_mean,rel,jobs,-0.43192202506482313,-0.5593984962406015
walk,bfca,gaussian,45,wt_mean,rel,ratio,0.0847317822604221,0.10827067669172932
walk,cumulative,binary,45,ac_median,abs,rel,0.004297752073507682,0.09172932330827069
walk,cumulative,binary,45,ac_median,abs,population,0.6846580388104623,0.5578947368421053
walk,cumulative,binary,45,ac_median,abs,jobs,0.703666156147423,0.58796992481203
walk,cumulative,binary,45,ac_median,abs,ratio,0.4362382205537236,0.35789473684210527
walk,cumulative,binary,45,ac_median,rel,population,-0.5241826591484275,-0.6150375939849624
walk,cumulative,binary,45,ac_median,rel,jobs,-0.5229009182696428,-0.6857142857142857
walk,cumulative,binary,45,ac_median,rel,ratio,-0.4576335496349414,-0.562406015037594
walk,cumulative,binary,30,wt_mean,abs,rel,-0.3423242462363956,-0.27669172932330827
walk,cumulative,binary,30,wt_mean,abs,population,0.6943276182706274,0.6075187969924812
walk,cumulative,binary,30,wt_mean,abs,jobs,0.7286165677833052,0.7022556390977444
walk,cumulative,binary,30,wt_mean,abs,ratio,0.6351050025935072,0.6180451127819548
walk,cumulative,binary,30,wt_mean,rel,population,-0.6269453813647806,-0.7729323308270677
walk,cumulative,binary,30,wt_mean,rel,jobs,-0.6201158824239716,-0.8300751879699249
walk,cumulative,binary,30,wt_mean,rel,ratio,-0.5515519456061742,-0.49774436090225566
walk,2sfca,gaussian,15,wt_median,abs,rel,0.12629061163160785,0.08872180451127819
walk,2sfca,gaussian,15,wt_median,abs,population,0.08808963398170457,0.21052631578947367
walk,2sfca,gaussian,15,wt_median,abs,jobs,0.17583860198104248,0.4345864661654136
walk,2sfca,gaussian,15,wt_median,abs,ratio,0.7266495684945918,0.768421052631579
walk,2sfca,gaussian,15,wt_median,rel,population,-0.6259132929155198,-0.8315789473684211
walk,2sfca,gaussian,15,wt_median,rel,jobs,-0.5937448293830233,-0.78796992481203
walk,2sfca,gaussian,15,wt_median,rel,ratio,-0.4022169099971507,-0.30075187969924816
walk,bfca,gaussian,60,wt_mean,abs,rel,0.4580136390989112,0.38345864661654133
walk,bfca,gaussian,60,wt_mean,abs,population,0.25999768153896813,0.16090225563909774
walk,bfca,gaussian,60,wt_mean,abs,jobs,0.35750218625861946,0.4330827067669173
walk,bfca,gaussian,60,wt_mean,abs,ratio,0.7800186854579765,0.8150375939849624
walk,bfca,gaussian,60,wt_mean,rel,population,-0.5016749554820772,-0.724812030075188
walk,bfca,gaussian,60,wt_mean,rel,jobs,-0.4325916303160579,-0.5593984962406015
walk,bfca,gaussian,60,wt_mean,rel,ratio,0.08415765987177252,0.10827067669172932
walk,bfca,binary,60,wt_mean,abs,rel,0.4565008015843602,0.38345864661654133
walk,bfca,binary,60,wt_mean,abs,population,0.25815227250309064,0.16090225563909774
walk,bfca,binary,60,wt_mean,abs,jobs,0.35601897094750623,0.4330827067669173
walk,bfca,binary,60,wt_mean,abs,ratio,0.7830703343230583,0.8150375939849624
walk,bfca,binary,60,wt_mean,rel,population,-0.503875507368224,-0.724812030075188
walk,bfca,binary,60,wt_mean,rel,jobs,-0.4345510733776179,-0.5593984962406015
walk,bfca,binary,60,wt_mean,rel,ratio,0.08467615462826192,0.10827067669172932
walk,gravity,gaussian,30,wt_median,abs,rel,-0.21178804134592635,-0.13533834586466165
walk,gravity,gaussian,30,wt_median,abs,population,0.6040731714998201,0.6766917293233083
walk,gravity,gaussian,30,wt_median,abs,jobs,0.6031431326850674,0.6451127819548872
walk,gravity,gaussian,30,wt_median,abs,ratio,0.4259768815571976,0.37142857142857144
walk,gravity,gaussian,30,wt_median,rel,population,-0.5615663054414469,-0.6270676691729323
walk,gravity,gaussian,30,wt_median,rel,jobs,-0.578902396341935,-0.7894736842105263
walk,gravity,gaussian,30,wt_median,rel,ratio,-0.6912481508802787,-0.6240601503759399
walk,cumulative,binary,30,ac_mean,abs,rel,-0.20450060992452737,-0.08872180451127819
walk,cumulative,binary,30,ac_mean,abs,population,0.720838281498968,0.5819548872180451
walk,cumulative,binary,30,ac_mean,abs,jobs,0.7524883799988238,0.6812030075187969
walk,cumulative,binary,30,ac_mean,abs,ratio,0.5704931127589228,0.5654135338345865
walk,cumulative,binary,30,ac_mean,rel,population,-0.602388431310454,-0.6902255639097744
walk,cumulative,binary,30,ac_mean,rel,jobs,-0.5905057998265816,-0.7308270676691729
walk,cumulative,binary,30,ac_mean,rel,ratio,-0.43779861879483073,-0.5067669172932331
walk,bfca,gaussian,30,ac_median,abs,rel,0.39823259753805035,0.3037593984962406
walk,bfca,gaussian,30,ac_median,abs,population,0.26240948538394804,0.21052631578947367
walk,bfca,gaussian,30,ac_median,abs,jobs,0.3395295770198941,0.4586466165413534
walk,bfca,gaussian,30,ac_median,abs,ratio,0.6834043453485232,0.7007518796992481
walk,bfca,gaussian,30,ac_median,rel,population,-0.5206207546538839,-0.7473684210526316
walk,bfca,gaussian,30,ac_median,rel,jobs,-0.4634962032704212,-0.6060150375939849
walk,bfca,gaussian,30,ac_median,rel,ratio,-0.04674785370092637,-0.05714285714285714
walk,gravity,gaussian,30,ac_median,abs,rel,0.032359236028299904,0.08872180451127819
walk,gravity,gaussian,30,ac_median,abs,population,0.6705355731692,0.5398496240601504
walk,gravity,gaussian,30,ac_median,abs,jobs,0.6895728629165359,0.5864661654135338
walk,gravity,gaussian,30,ac_median,abs,ratio,0.44328210594408035,0.38345864661654133
walk,gravity,gaussian,30,ac_median,rel,population,-0.510412681675033,-0.6240601503759399
walk,gravity,gaussian,30,ac_median,rel,jobs,-0.5082603308927439,-0.6902255639097744
walk,gravity,gaussian,30,ac_median,rel,ratio,-0.43804800167949626,-0.562406015037594
walk,bfca,gaussian,45,ac_median,abs,rel,0.3829860005986593,0.3037593984962406
walk,bfca,gaussian,45,ac_median,abs,population,0.2740414912692123,0.21052631578947367
walk,bfca,gaussian,45,ac_median,abs,jobs,0.351536626394951,0.4586466165413534
walk,bfca,gaussian,45,ac_median,abs,ratio,0.6866678067345997,0.7007518796992481
walk,bfca,gaussian,45,ac_median,rel,population,-0.5252309676515742,-0.7473684210526316
walk,bfca,gaussian,45,ac_median,rel,jobs,-0.4680561607966222,-0.6060150375939849
walk,bfca,gaussian,45,ac_median,rel,ratio,-0.05501850182529822,-0.05714285714285714
walk,bfca,gaussian,60,ac_median,abs,rel,0.3828854369903489,0.2947368421052632
walk,bfca,gaussian,60,ac_median,abs,population,0.2756400713227213,0.21052631578947367
walk,bfca,gaussian,60,ac_median,abs,jobs,0.35286353424192257,0.4586466165413534
walk,bfca,gaussian,60,ac_median,abs,ratio,0.6856597556595757,0.7007518796992481
walk,bfca,gaussian,60,ac_median,rel,population,-0.5264096206159986,-0.7533834586466165
walk,bfca,gaussian,60,ac_median,rel,jobs,-0.4689924801489095,-0.6135338345864662
walk,bfca,gaussian,60,ac_median,rel,ratio,-0.05358615440559106,-0.0661654135338346
